name,moviestatus,criticstatus,userstatus,link
Hot Tub Time Machine,0,0,0,hot_tub_time_machine
Mimic,0,0,0,mimic
Oblivion,0,0,0,oblivion
Beowulf,0,0,0,beowulf
Dark City,0,0,0,dark_city
Alien Resurrection,0,0,0,alien_resurrection
The Lawnmower Man,0,0,0,the_lawnmower_man
Starman,0,0,0,starman
Extraordinary: The Stan Romanek Story,0,0,0,extraordinary_the_stan_romanek_story
Sorry to Bother You,0,0,0,sorry_to_bother_you
Jimmy Neutron: Boy Genius,0,0,0,jimmy_neutron_boy_genius
Rogue One: A Star Wars Story,0,0,0,rogue_one_a_star_wars_story
The Cloverfield Paradox,0,0,0,the_cloverfield_paradox
Zoe,0,0,0,zoe
Monkeybone,0,0,0,monkeybone
Heavy Metal,0,0,0,heavy_metal
Tremors 2: Aftershocks,0,0,0,tremors_2_aftershocks
Mr. Destiny,0,0,0,mr_destiny
One-Eyed Monster,0,0,0,one_eyed_monster
Sand Sharks,0,0,0,sand_sharks
Black Mask 2: City of Masks,0,0,0,black_mask_2_city_of_masks
Aa Dekhen Zara,0,0,0,aa_dekhen_zara
Mortal Kombat: Annihilation,0,0,0,mortal_kombat_annihilation
Mr. Nobody,0,0,0,mr_nobody
Downsizing,0,0,0,downsizing
Galaxy Quest,0,0,0,galaxy_quest
Lost in Space,0,0,0,lost_in_space
Mutant,0,0,0,mutant
Daybreakers,0,0,0,daybreakers
Blue Thunder,0,0,0,blue_thunder
2010,0,0,0,2010
Austin Powers in Goldmember,0,0,0,austin_powers_in_goldmember
The Rocketeer,0,0,0,the_rocketeer
Final,0,0,0,final
Storage 24,0,0,0,storage_24
Boa vs. Python,0,0,0,boa_vs_python
The Dead Zone,0,0,0,the_dead_zone
Atlantis: Milo's Return,0,0,0,atlantis_milo_s_return
Midnight Special,0,0,0,midnight_special
Bleach: Memories of Nobody,0,0,0,bleach_memories_of_nobody
Cocoon: The Return,0,0,0,cocoon_the_return
Journey to the Center of the Earth,0,0,0,journey_to_the_center_of_the_earth
Hardcore Henry,0,0,0,hardcore_henry
28 Weeks Later,0,0,0,28_weeks_later
Judge Dredd,0,0,0,judge_dredd
Demolition Man,0,0,0,demolition_man
Firefox,0,0,0,firefox
Equilibrium,0,0,0,equilibrium
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,0,0,0,teenage_mutant_ninja_turtles_ii_the_secret_of_the_ooze
Beneath the Planet of the Apes,0,0,0,beneath_the_planet_of_the_apes
Scooby-Doo and the Cyber Chase,0,0,0,scooby_doo_and_the_cyber_chase
Lake Placid: The Final Chapter,0,0,0,lake_placid_the_final_chapter
Europa Report,0,0,0,europa_report
Pig,0,0,0,pig
Deadly Friend,0,0,0,deadly_friend
The Devil Doll,0,0,0,the_devil_doll
Okja,0,0,0,okja
Outlander,0,0,0,outlander
A Sound of Thunder,0,0,0,a_sound_of_thunder
Village of the Damned,0,0,0,village_of_the_damned
Predestination,0,0,0,predestination
The Thirteenth Floor,0,0,0,the_thirteenth_floor
Innerspace,0,0,0,innerspace
The Lobster,0,0,0,the_lobster
The Arrival,0,0,0,the_arrival
The Day,0,0,0,the_day
Project Almanac,0,0,0,project_almanac
Ultraviolet,0,0,0,ultraviolet
Deja Vu,0,0,0,deja_vu
Primer,0,0,0,primer
Time Changer,0,0,0,time_changer
CQ,0,0,0,cq
Escape from Planet Earth,0,0,0,escape_from_planet_earth
Alligator X,0,0,0,alligator_x
Tekken,0,0,0,tekken
Memories,0,0,0,memories
Robot and Frank,0,0,0,robot_and_frank
Atlantis: The Lost Empire,0,0,0,atlantis_the_lost_empire
The Host,0,0,0,the_host
Suicide Squad: Hell to Pay,0,0,0,suicide_squad_hell_to_pay
Ice Spiders,0,0,0,ice_spiders
Godzilla Against Mechagodzilla,0,0,0,godzilla_against_mechagodzilla
The Running Man,0,0,0,the_running_man
Videodrome,0,0,0,videodrome
Return from Witch Mountain,0,0,0,return_from_witch_mountain
